Date,Active,New,Deaths,Recovered
4/01/2020,77,7,1,13
3/31/2020,70,11,1,13
3/30/2020,59,7,1,13
3/29/2020,52,7,1,13
3/28/2020,44,4,1,13
3/27/2020,40,7,1,13
3/26/2020,41,8,1,5
3/25/2020,34,2,1,4
3/24/2020,34,2,1,2
3/23/2020,27,8,1,1
3/22/2020,25,,1,1
3/21/2020,23,2,,
3/20/2020,21,11,1,
3/19/2020,11,2,,
3/18/2020,9,,,
3/17/2020,9,2,,
3/16/2020,7,3,,
3/15/2020,4,,,
3/14/2020,4,2,,
3/13/2020,2,,,
3/12/2020,2,,,
3/11/2020,2,,,
3/10/2020,2,,,
3/9/2020,2,,,
3/8/2020,2,,,
3/7/2020,2,,,
3/6/2020,2,,,
3/5/2020,2,,,
3/4/2020,2,1,,
3/3/2020,1,,,
3/2/2020,1,1,,
3/1/2020,,,,
