USPS,Name,FIPS,population
AL,Alabama,1,4903185
AK,Alaska,2,731545
AZ,Arizona,4,7278717
AR,Arkansas,5,3017804
CA,California,6,39512223
CO,Colorado,8,5758736
CT,Connecticut,9,3565287
DE,Delaware,10,973764
DC,District of Columbia,11,705749
FL,Florida,12,21477737
GA,Georgia,13,10617423
HI,Hawaii,15,1415872
ID,Idaho,16,1787065
IL,Illinois,17,12671821
IN,Indiana,18,6732219
IA,Iowa,19,3155070
KS,Kansas,20,2913314
KY,Kentucky,21,4467673
LA,Louisiana,22,4648794
ME,Maine,23,1344212
MD,Maryland,24,6045680
MA,Massachusetts,25,6892503
MI,Michigan,26,9986857
MN,Minnesota,27,5639632
MS,Mississippi,28,2976149
MO,Missouri,29,6137428
MT,Montana,30,1068778
NE,Nebraska,31,1934408
NV,Nevada,32,3080156
NH,New Hampshire,33,1359711
NJ,New Jersey,34,8882190
NM,New Mexico,35,2096829
NY,New York,36,19453561
NC,North Carolina,37,10488084
ND,North Dakota,38,762062
OH,Ohio,39,11689100
OK,Oklahoma,40,3956971
OR,Oregon,41,4217737
PA,Pennsylvania,42,12801989
RI,Rhode Island,44,1059361
SC,South Carolina,45,5148714
SD,South Dakota,46,884659
TN,Tennessee,47,6829174
TX,Texas,48,28995881
UT,Utah,49,3205958
VT,Vermont,50,623989
VA,Virginia,51,8535519
WA,Washington,53,7614893
WV,West Virginia,54,1792147
WI,Wisconsin,55,5822434
WY,Wyoming,56,578759
